Video_Id,Video_title,Likes_count,Comments_count,Views_Count
ByAn8DF8Ykk,Avatar: The Last Airbender | Official Trailer | Netflix,277256,23832,7086156
w8PmrLG6v5I,"BOLLYWOOD BLOCKBUSTER HINDI MOVIE - राजेश खन्ना ,शबाना आजमी और सचिन की सुपरहिट हिंदी मूवी - AVTAAR",95336,2191,14805025
waJKJW_XU90,Avatar: The Last Airbender | Official Teaser | Netflix,459600,41032,20188824
PLtgIILX7E8,AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie),235321,1774,52482995
5PSNL1qE6VY,Avatar | Official Trailer (HD) | 20th Century FOX,81729,8948,12917579
3y8a_TFL_KQ,AVATAR Full Movie 2024: The Way of Water | Final Battle of Pandora | FullHDvideos4me (Game Movie),5095,66,1196952
#NAME?,THE LAST AIRBENDER (2010) | Hollywood.com Movie Trailers | #movies #movietrailers,22297,11075,10663313
d9MyW72ELq0,Avatar: The Way of Water | Official Trailer,1042369,42981,58588946
aoLAVXRiKUs,AVATAR Full Movie 2024: End Of World | Velocity Action Movies 2024 in English (Game Movie),8,0,697
3G6J-ITWekA,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),25031,706,5997286
2r71I8lvTIA,The Last Airbender Film: How it Disrespected a Great Series (Avatar Video Essay),156551,27347,5209436
nsO1isT60h8,Destruction of Home Tree - AVATAR (4k Movie Clip),5189,761,682047
YXtWPVFk5TQ,Avatar 3  Official Trailer | James Cameron  | 20th Century Studios | Avatar 3 Trailer,41617,1522,3661714
WDFr1O_GeAQ,Avatar (2009) - Best Scenes,19264,642,2568612
KkXEOGA3jbQ,How Old Are The Sully Children In Avatar?,41218,192,417461
mdhEj_rG80Y,AVATAR - Movie Behind the Scenes | Making of,9682,151,3540026
nxjOFZqtLJc,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,24564,647,2321344
Xkw96oC3LnI,First Look at Team Avatar Movie Poster (2025),43630,1757,511797
x0YqTRedPcw,If the Avatar movie was real,29423,1458,304360
HR2kbOK8i6I,The Last Airbender (2010) - Earthbenders Revolt! Scene (2/10) | Movieclips,78826,0,10271594
XmxLG1HBNTk,AVATAR Full Movie 2023: Galactic Empire | Superhero FXL Action Movies 2023 in English (Game Movie),10646,84,3283870
ofvrOdrO9gY,Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip),21379,991,1725642
0sJeBiUCIt4,AVATAR Clip - Final Battle (2009) James Cameron,193152,3707,32690361
V67Ytgs6KJo,Avatar: First Movie RECAP,10557,323,624867
U7cVZD0idBw,The Avatar wins a war with a Tsunami | The Last Airbender | CLIP,21650,959,2913720
TgT8b62FJRI,Jake Meets Neytiri - AVATAR (4k Movie Clip),4406,186,368571
kHNCaWjB-98,Zoe Saldana Performance Capture | AVATAR (2009) Before & After CGI #shorts,1028031,3224,24369385
Mvt1OWNk_Sg,The Final Battle (Part 1) - AVATAR (4k Movie Clip),6664,275,697316
QohBlL3WurE,Training with the Ikran - AVATAR (4k Movie Clip),3669,75,283104
Hj6JCTAqFOo,AVATAR 3 Full Movie 2023 Fallen Kingdom HD,522,16,138951
lc0gis09VZs,60 MINUTES from Avatar: The Last Airbender - Book 1: Water 🌊 | @TeamAvatar,11116,131,1420973
X8SVkfbt8cs,Avatar: The Way of Water,21765,1783,0
#NAME?,Jake vs Colonel Quaritch - AVATAR (4k Movie Clip),9144,513,1116952
MgV9vymLIdQ,The Last Airbender is the Worst Film Ever Made — HERE'S WHY,116745,14721,6222799
zpSueMIfc2k,"AVATAR Clip - ""Awake"" (2009) James Cameron",54141,754,13228284
6pHZmBin4Xc,Toruk Macto - AVATAR (4k Movie Clip),25480,611,3401766
oFErWcXJLdw,TRAINING TO BE IN THE NEXT AVATAR MOVIE,51262,1704,2781205
RGx8rYbRVR4,Why People Hate Avatar: A Lesson In Lazy Commentary,31089,4757,553746
cMzwBkBdX6w,Did You Know This in AVATAR: THE WAY OF WATER? #shorts,68417,328,1007120
bDHD1ueL4a4,The Weeknd - Nothing Is Lost (You Give Me Strength) (Official Lyric Video),650931,9653,29698370
jbncrh_3NfM,The Final Battle (Part 3) - AVATAR (4k Movie Clip),6827,274,816046
wBJ0gGJXDAs,Avatar - Jake Meets Colonel Quaritch (HD),10830,1918,922434
a8Gx8wiNbs8,Avatar: The Way of Water | Official Teaser Trailer,682179,29017,27963637
5A6anrwecHM,Jake tames his Ikran - AVATAR (4k Movie Clip),4653,112,627419
TKndKigKkss,Avatar the Last Airbender movie coming 2024! #avatar #avatarthelastairbender #movie #nickelodeon,26078,318,414776
0TV7fqh-vEk,Avatar way of the water explained by an idiot,54968,1449,964330
VI9aeMEamsw,Why Matt Damon TURNED DOWN 10% of AVATAR! #shorts,405606,3760,9696347
wJ84Hda-H4c,PROTECTIVE FRIEND BE LIKE🤭 #avatar #avatar2 #avatarthewayofwater #rotxo,70914,702,1074141
yRR1K9dmhxw,"Behind the scenes of Avatar, Zoe Saldana and Sam Worthington  #avatar #samworthington #zoesaldana",244284,926,5788744
CYGCwkmaa1s,The Last Airbender (2010) - Aang vs. Master Pakku Scene (4/10) | Movieclips,33428,0,4145964
